t	x0	y0	x1	y1	x2	y2
0	-0.091805	-0.336304	-0.340468	-0.486304	0.340468	-0.486304
1	-0.092836	-0.334690	-0.340445	-0.486347	0.340425	-0.486339
2	-0.094772	-0.331613	-0.340401	-0.486429	0.340344	-0.486407
3	-0.097635	-0.327235	-0.340336	-0.486547	0.340229	-0.486502
4	-0.101444	-0.321665	-0.340250	-0.486697	0.340080	-0.486620
5	-0.106260	-0.314987	-0.340144	-0.486880	0.339899	-0.486759
6	-0.112182	-0.307273	-0.340013	-0.487093	0.339685	-0.486912
7	-0.119346	-0.298585	-0.339856	-0.487338	0.339435	-0.487076
8	-0.127925	-0.288995	-0.339668	-0.487614	0.339148	-0.487246
9	-0.138114	-0.278606	-0.339442	-0.487923	0.338821	-0.487417
10	-0.150107	-0.267589	-0.339171	-0.488265	0.338450	-0.487582
11	-0.164036	-0.256221	-0.338850	-0.488638	0.338031	-0.487736
12	-0.179791	-0.244783	-0.338473	-0.489037	0.337560	-0.487872
13	-0.197077	-0.233642	-0.338043	-0.489450	0.337031	-0.487981
14	-0.215467	-0.223198	-0.337569	-0.489864	0.336441	-0.488057
15	-0.234493	-0.213800	-0.337065	-0.490265	0.335784	-0.488093
16	-0.253733	-0.205700	-0.336545	-0.490643	0.335058	-0.488081
17	-0.272844	-0.199053	-0.336023	-0.490990	0.334262	-0.488017
18	-0.291565	-0.193936	-0.335508	-0.491303	0.333392	-0.487898
19	-0.309695	-0.186390	-0.336754	-0.493391	0.332451	-0.487719
20	-0.327208	-0.176421	-0.339766	-0.497249	0.331435	-0.487479
21	-0.344074	-0.164038	-0.344553	-0.502867	0.330342	-0.487174
22	-0.360195	-0.149267	-0.349058	-0.510969	0.329167	-0.486798
23	-0.375954	-0.132024	-0.353413	-0.521567	0.327908	-0.486346
24	-0.390533	-0.115988	-0.357094	-0.531501	0.326560	-0.485810
25	-0.404154	-0.101513	-0.360230	-0.540101	0.325124	-0.485187
26	-0.416965	-0.088384	-0.362899	-0.547479	0.323598	-0.484472
27	-0.429078	-0.076383	-0.365167	-0.553787	0.321987	-0.483665
28	-0.440583	-0.065325	-0.367088	-0.559161	0.320292	-0.482765
29	-0.451548	-0.055053	-0.368711	-0.563723	0.318517	-0.481773
30	-0.462024	-0.045434	-0.370077	-0.567574	0.316666	-0.480691
31	-0.472054	-0.036355	-0.371223	-0.570806	0.314743	-0.479520
32	-0.481670	-0.027717	-0.372179	-0.573493	0.312753	-0.478262
33	-0.490898	-0.019437	-0.372974	-0.575703	0.310700	-0.476920
34	-0.499761	-0.011442	-0.373631	-0.577492	0.308589	-0.475495
35	-0.508282	-0.003666	-0.374172	-0.578910	0.306422	-0.473992
36	-0.516480	0.003944	-0.374615	-0.580000	0.304205	-0.472412
37	-0.524378	0.011438	-0.374975	-0.580798	0.301941	-0.470757
38	-0.531996	0.018857	-0.375268	-0.581336	0.299634	-0.469030
39	-0.539358	0.026237	-0.375506	-0.581642	0.297287	-0.467233
40	-0.546488	0.033608	-0.375699	-0.581739	0.294904	-0.465368
41	-0.553408	0.040998	-0.375858	-0.581648	0.292487	-0.463437
42	-0.560146	0.048426	-0.375989	-0.581386	0.290039	-0.461442
43	-0.566726	0.055912	-0.376102	-0.580969	0.287562	-0.459385
