t	x0	y0	x1	y1	x2	y2
0	-0.091805	-0.336304	-0.340468	-0.486304	0.340468	-0.486304
1	-0.084697	-0.328804	-0.343111	-0.488890	0.341545	-0.478804
2	-0.070479	-0.313804	-0.348397	-0.494064	0.343700	-0.463804
3	-0.053281	-0.295659	-0.356327	-0.501824	0.346932	-0.441304
4	-0.036083	-0.277515	-0.366899	-0.512171	0.350486	-0.416558
5	-0.018885	-0.259370	-0.380115	-0.525104	0.354040	-0.391812
6	-0.001687	-0.241225	-0.395973	-0.540624	0.357595	-0.367066
7	0.015511	-0.223081	-0.413840	-0.558110	0.361149	-0.342320
8	0.032709	-0.204936	-0.431708	-0.575596	0.364704	-0.317574
9	0.049907	-0.186792	-0.449575	-0.593082	0.368258	-0.292828
10	0.067106	-0.168647	-0.467443	-0.610567	0.371812	-0.268082
11	0.084304	-0.150502	-0.485310	-0.628053	0.375367	-0.243336
12	0.101502	-0.132358	-0.503177	-0.645539	0.378921	-0.218590
13	0.118700	-0.114213	-0.521045	-0.663025	0.382476	-0.193843
14	0.135898	-0.096069	-0.538912	-0.680511	0.386030	-0.169097
15	0.153096	-0.077924	-0.556780	-0.697997	0.389584	-0.144351
16	0.170294	-0.059779	-0.574647	-0.715483	0.393139	-0.119605
17	0.187492	-0.041635	-0.592514	-0.732969	0.396693	-0.094859
18	0.204690	-0.023490	-0.610382	-0.750455	0.400248	-0.070113
19	0.221888	-0.005346	-0.628249	-0.767941	0.403802	-0.045367
20	0.239086	0.012799	-0.646116	-0.785426	0.407357	-0.020621
21	0.256284	0.030943	-0.663984	-0.802912	0.410911	0.004125
22	0.273482	0.049088	-0.681851	-0.820398	0.414465	0.028871
23	0.290680	0.067233	-0.699719	-0.837884	0.418020	0.053617
24	0.307879	0.085377	-0.717586	-0.855370	0.421574	0.078363
25	0.325077	0.103522	-0.735453	-0.872856	0.425129	0.103109
26	0.342275	0.121666	-0.753321	-0.890342	0.428683	0.127855
27	0.359473	0.139811	-0.771188	-0.907828	0.432237	0.152601
28	0.376671	0.157956	-0.789056	-0.925314	0.435792	0.177347
29	0.393869	0.176100	-0.806923	-0.942799	0.439346	0.202093
30	0.411067	0.194245	-0.824790	-0.960285	0.442901	0.226839
31	0.428265	0.212389	-0.842658	-0.977771	0.446455	0.251585
32	0.445463	0.230534	-0.860525	-0.995257	0.450009	0.276331
33	0.462661	0.248679	-0.878392	-1.012743	0.453564	0.301077
34	0.479859	0.266823	-0.896260	-1.030229	0.457118	0.325823
35	0.497057	0.284968	-0.914127	-1.047715	0.460673	0.350569
36	0.514255	0.303112	-0.931995	-1.065201	0.464227	0.375315
37	0.531453	0.321257	-0.949862	-1.082687	0.467781	0.400061
38	0.548652	0.339402	-0.967729	-1.100173	0.471336	0.424807
39	0.565850	0.357546	-0.985597	-1.117658	0.474890	0.449553
40	0.583048	0.375691	-1.003464	-1.135144	0.478445	0.474299
41	0.600246	0.393835	-1.021332	-1.152630	0.481999	0.499045
42	0.617444	0.411980	-1.039199	-1.170116	0.485553	0.523791
43	0.634642	0.430125	-1.057066	-1.187602	0.489108	0.548538
44	0.651840	0.448269	-1.074934	-1.205088	0.492662	0.573284
45	0.669038	0.466414	-1.092801	-1.222574	0.496217	0.598030
46	0.686236	0.484558	-1.110668	-1.240060	0.499771	0.622776
47	0.703434	0.502703	-1.128536	-1.257546	0.503325	0.647522
48	0.720632	0.520848	-1.146403	-1.275032	0.506880	0.672268
49	0.737830	0.538992	-1.164271	-1.292517	0.510434	0.697014
50	0.755028	0.557137	-1.182138	-1.310003	0.513989	0.721760
51	0.772226	0.575281	-1.200005	-1.327489	0.517543	0.746506
52	0.789425	0.593426	-1.217873	-1.344975	0.521097	0.771252
53	0.806623	0.611571	-1.235740	-1.362461	0.524652	0.795998
54	0.823821	0.629715	-1.253607	-1.379947	0.528206	0.820744
55	0.841019	0.647860	-1.271475	-1.397433	0.531761	0.845490
56	0.858217	0.666004	-1.289342	-1.414919	0.535315	0.870236
57	0.875415	0.684149	-1.307210	-1.432405	0.538870	0.894982
58	0.892613	0.702293	-1.325077	-1.449891	0.542424	0.919728
59	0.909811	0.720438	-1.342944	-1.467376	0.545978	0.944474
60	0.927009	0.738583	-1.360812	-1.484862	0.549533	0.969220
61	0.944207	0.756727	-1.378679	-1.502348	0.553087	0.993966
62	0.961405	0.774872	-1.396547	-1.519834	0.556642	1.018712
63	0.978603	0.793016	-1.414414	-1.537320	0.560196	1.043458
64	0.995801	0.811161	-1.432281	-1.554806	0.563750	1.068204
65	1.012999	0.829306	-1.450149	-1.572292	0.567305	1.092950
66	1.030198	0.847450	-1.468016	-1.589778	0.570859	1.117696
67	1.047396	0.865595	-1.485883	-1.607264	0.574414	1.142442
68	1.064594	0.883739	-1.503751	-1.624750	0.577968	1.167188
69	1.081792	0.901884	-1.521618	-1.642235	0.581522	1.191934
70	1.098990	0.920029	-1.539486	-1.659721	0.585077	1.216680
71	1.116188	0.938173	-1.557353	-1.677207	0.588631	1.241426
72	1.133386	0.956318	-1.575220	-1.694693	0.592186	1.266173
73	1.150584	0.974462	-1.593088	-1.712179	0.595740	1.290919
74	1.167782	0.992607	-1.610955	-1.729665	0.599294	1.315665
75	1.184980	1.010752	-1.628823	-1.747151	0.602849	1.340411
76	1.202178	1.028896	-1.646690	-1.764637	0.606403	1.365157
77	1.219376	1.047041	-1.664557	-1.782123	0.609958	1.389903
78	1.236574	1.065185	-1.682425	-1.799609	0.613512	1.414649
79	1.253772	1.083330	-1.700292	-1.817094	0.617066	1.439395
80	1.270971	1.101475	-1.718159	-1.834580	0.620621	1.464141
81	1.288169	1.119619	-1.736027	-1.852066	0.624175	1.488887
82	1.305367	1.137764	-1.753894	-1.869552	0.627730	1.513633
83	1.322565	1.155908	-1.771762	-1.887038	0.631284	1.538379
84	1.339763	1.174053	-1.789629	-1.904524	0.634838	1.563125
85	1.356961	1.192198	-1.807496	-1.922010	0.638393	1.587871
86	1.374159	1.210342	-1.825364	-1.939496	0.641947	1.612617
87	1.391357	1.228487	-1.843231	-1.956982	0.645502	1.637363
88	1.408555	1.246631	-1.861098	-1.974467	0.649056	1.662109
89	1.425753	1.264776	-1.878966	-1.991953	0.652611	1.686855
90	1.442951	1.282921	-1.896833	-2.009439	0.656165	1.711601
91	1.460149	1.301065	-1.914701	-2.026925	0.659719	1.736347
92	1.477347	1.319210	-1.932568	-2.044411	0.663274	1.761093
93	1.494546	1.337354	-1.950435	-2.061897	0.666828	1.785839
94	1.511744	1.355499	-1.968303	-2.079383	0.670383	1.810585
95	1.528942	1.373644	-1.986170	-2.096869	0.673937	1.835331
96	1.546140	1.391788	-2.004038	-2.114355	0.677491	1.860077
97	1.563338	1.409933	-2.021905	-2.131841	0.681046	1.884823
98	1.580536	1.428077	-2.039772	-2.149326	0.684600	1.909569
99	1.597734	1.446222	-2.057640	-2.166812	0.688155	1.934315
100	1.614932	1.464366	-2.075507	-2.184298	0.691709	1.959061
101	1.632130	1.482511	-2.093374	-2.201784	0.695263	1.983808
102	1.649328	1.500656	-2.111242	-2.219270	0.698818	2.008554
103	1.666526	1.518800	-2.129109	-2.236756	0.702372	2.033300
104	1.683724	1.536945	-2.146977	-2.254242	0.705927	2.058046
105	1.700922	1.555089	-2.164844	-2.271728	0.709481	2.082792
106	1.718120	1.573234	-2.182711	-2.289214	0.713035	2.107538
107	1.735319	1.591379	-2.200579	-2.306700	0.716590	2.132284
108	1.752517	1.609523	-2.218446	-2.324185	0.720144	2.157030
109	1.769715	1.627668	-2.236314	-2.341671	0.723699	2.181776
110	1.786913	1.645812	-2.254181	-2.359157	0.727253	2.206522
111	1.804111	1.663957	-2.272048	-2.376643	0.730807	2.231268
112	1.821309	1.682102	-2.289916	-2.394129	0.734362	2.256014
113	1.838507	1.700246	-2.307783	-2.411615	0.737916	2.280760
114	1.855705	1.718391	-2.325650	-2.429101	0.741471	2.305506
115	1.872903	1.736535	-2.343518	-2.446587	0.745025	2.330252
116	1.890101	1.754680	-2.361385	-2.464073	0.748579	2.354998
117	1.907299	1.772825	-2.379253	-2.481559	0.752134	2.379744
118	1.924497	1.790969	-2.397120	-2.499044	0.755688	2.404490
119	1.941695	1.809114	-2.414987	-2.516530	0.759243	2.429236
120	1.958893	1.827258	-2.432855	-2.534016	0.762797	2.453982
121	1.976092	1.845403	-2.450722	-2.551502	0.766352	2.478728
122	1.993290	1.863548	-2.468590	-2.568988	0.769906	2.503474
123	2.010488	1.881692	-2.486457	-2.586474	0.773460	2.528220
124	2.027686	1.899837	-2.504324	-2.603960	0.777015	2.552966
125	2.044884	1.917981	-2.522192	-2.621446	0.780569	2.577712
126	2.062082	1.936126	-2.540059	-2.638932	0.784124	2.602458
127	2.079280	1.954271	-2.557926	-2.656418	0.787678	2.627204
