t	x0	y0	x1	y1	x2	y2
0	-0.091805	-0.336304	-0.340468	-0.486304	0.340468	-0.486304
1	-0.091821	-0.336270	-0.340443	-0.486351	0.340412	-0.486337
2	-0.091852	-0.336202	-0.340394	-0.486443	0.340304	-0.486403
3	-0.091899	-0.336101	-0.340320	-0.486581	0.340146	-0.486503
4	-0.091961	-0.335969	-0.340221	-0.486764	0.339943	-0.486638
5	-0.092038	-0.335804	-0.340099	-0.486990	0.339695	-0.486807
6	-0.092130	-0.335609	-0.339953	-0.487260	0.339408	-0.487012
7	-0.092237	-0.335384	-0.339782	-0.487572	0.339082	-0.487251
8	-0.092359	-0.335128	-0.339588	-0.487926	0.338720	-0.487526
9	-0.092496	-0.334844	-0.339371	-0.488321	0.338326	-0.487838
10	-0.092648	-0.334532	-0.339129	-0.488756	0.337900	-0.488185
11	-0.092815	-0.334191	-0.338864	-0.489231	0.337446	-0.488568
12	-0.092996	-0.333824	-0.338575	-0.489745	0.336965	-0.488988
13	-0.093193	-0.333430	-0.338262	-0.490297	0.336459	-0.489444
14	-0.093404	-0.333010	-0.337925	-0.490887	0.335930	-0.489937
15	-0.093631	-0.332565	-0.337564	-0.491513	0.335379	-0.490466
16	-0.093872	-0.332095	-0.337179	-0.492175	0.334809	-0.491032
17	-0.094128	-0.331601	-0.336771	-0.492872	0.334220	-0.491634
18	-0.094399	-0.331085	-0.336337	-0.493604	0.333614	-0.492273
19	-0.094684	-0.330545	-0.335880	-0.494369	0.332993	-0.492949
20	-0.094985	-0.329984	-0.335398	-0.495167	0.332357	-0.493660
21	-0.095300	-0.329402	-0.334891	-0.495996	0.331708	-0.494408
22	-0.095630	-0.328800	-0.334360	-0.496857	0.331046	-0.495192
23	-0.095975	-0.328179	-0.333804	-0.497747	0.330373	-0.496011
24	-0.096334	-0.327538	-0.333223	-0.498667	0.329689	-0.496866
25	-0.096708	-0.326881	-0.332617	-0.499615	0.328996	-0.497757
26	-0.097096	-0.326206	-0.331985	-0.500590	0.328294	-0.498682
27	-0.097499	-0.325515	-0.331329	-0.501590	0.327584	-0.499642
28	-0.097915	-0.324809	-0.330648	-0.502616	0.326867	-0.500637
29	-0.098346	-0.324089	-0.329942	-0.503666	0.326143	-0.501665
30	-0.098789	-0.323357	-0.329210	-0.504738	0.325412	-0.502727
31	-0.099246	-0.322612	-0.328454	-0.505832	0.324676	-0.503822
32	-0.099716	-0.321856	-0.327673	-0.506946	0.323935	-0.504950
33	-0.100199	-0.321090	-0.326868	-0.508079	0.323188	-0.506110
34	-0.100694	-0.320315	-0.326038	-0.509230	0.322438	-0.507302
35	-0.101200	-0.319533	-0.325184	-0.510397	0.321683	-0.508524
36	-0.101718	-0.318744	-0.324307	-0.511578	0.320925	-0.509777
37	-0.102246	-0.317949	-0.323407	-0.512773	0.320163	-0.511060
38	-0.102784	-0.317151	-0.322484	-0.513980	0.319398	-0.512372
39	-0.103331	-0.316349	-0.321539	-0.515197	0.318630	-0.513712
40	-0.103887	-0.315545	-0.320574	-0.516422	0.317860	-0.515080
41	-0.104451	-0.314740	-0.319588	-0.517655	0.317088	-0.516475
42	-0.105022	-0.313936	-0.318582	-0.518892	0.316313	-0.517897
43	-0.105600	-0.313134	-0.317559	-0.520133	0.315537	-0.519343
44	-0.106182	-0.312334	-0.316518	-0.521376	0.314759	-0.520814
45	-0.106769	-0.311538	-0.315462	-0.522619	0.313980	-0.522309
46	-0.107360	-0.310747	-0.314390	-0.523860	0.313200	-0.523826
47	-0.107954	-0.309963	-0.313306	-0.525098	0.312419	-0.525364
48	-0.108549	-0.309185	-0.312210	-0.526330	0.311638	-0.526924
49	-0.109144	-0.308416	-0.311103	-0.527556	0.310856	-0.528503
50	-0.109739	-0.307655	-0.309989	-0.528773	0.310074	-0.530101
51	-0.110333	-0.306905	-0.308867	-0.529979	0.309292	-0.531716
52	-0.110925	-0.306165	-0.307741	-0.531174	0.308510	-0.533348
53	-0.111513	-0.305437	-0.306611	-0.532355	0.307728	-0.534996
54	-0.112096	-0.304721	-0.305480	-0.533521	0.306948	-0.536657
55	-0.112675	-0.304019	-0.304349	-0.534670	0.306169	-0.538332
56	-0.113247	-0.303330	-0.303221	-0.535802	0.305391	-0.540018
57	-0.106319	-0.295141	-0.309593	-0.544434	0.304614	-0.541715
58	-0.091891	-0.279452	-0.323465	-0.560566	0.303835	-0.543423
59	-0.074714	-0.261287	-0.339079	-0.580091	0.303043	-0.545143
60	-0.057595	-0.244238	-0.353300	-0.598996	0.302225	-0.546879
61	-0.040708	-0.228360	-0.366159	-0.617183	0.301368	-0.548636
62	-0.024169	-0.213636	-0.377723	-0.634639	0.300459	-0.550420
63	-0.008069	-0.200041	-0.388055	-0.651358	0.299484	-0.552235
64	0.007525	-0.187548	-0.397216	-0.667337	0.298433	-0.554084
65	0.022568	-0.176126	-0.405265	-0.682578	0.297294	-0.555969
66	0.037025	-0.165734	-0.412259	-0.697084	0.296059	-0.557886
67	0.050873	-0.156325	-0.418253	-0.710862	0.294722	-0.559833
68	0.064102	-0.147849	-0.423300	-0.723921	0.293280	-0.561804
69	0.076708	-0.140254	-0.427453	-0.736271	0.291731	-0.563793
70	0.088696	-0.133488	-0.430761	-0.747925	0.290076	-0.565794
71	0.100076	-0.127503	-0.433274	-0.758897	0.288316	-0.567799
72	0.110862	-0.122252	-0.435038	-0.769201	0.286456	-0.569802
73	0.121070	-0.117691	-0.436099	-0.778853	0.284500	-0.571796
74	0.130719	-0.113779	-0.436502	-0.787871	0.282453	-0.573775
75	0.139829	-0.110478	-0.436290	-0.796272	0.280323	-0.575735
76	0.148419	-0.107752	-0.435505	-0.804074	0.278116	-0.577669
77	0.156509	-0.105568	-0.434187	-0.811296	0.275838	-0.579574
78	0.164117	-0.103893	-0.432375	-0.817957	0.273498	-0.581447
79	0.171263	-0.102697	-0.430107	-0.824076	0.271102	-0.583283
80	0.177965	-0.101951	-0.427419	-0.829672	0.268660	-0.585081
81	0.184240	-0.101627	-0.424347	-0.834765	0.266177	-0.586839
82	0.190104	-0.101697	-0.420924	-0.839374	0.263662	-0.588554
83	0.195574	-0.102132	-0.417183	-0.843520	0.261123	-0.590225
84	0.200663	-0.102908	-0.413156	-0.847221	0.258565	-0.591852
85	0.205386	-0.103997	-0.408874	-0.850497	0.255998	-0.593435
86	0.209758	-0.105373	-0.404366	-0.853366	0.253426	-0.594972
