mode,seed,steps,min_dist,collided,n_reached,mean_final_goal_dist,form_err_mean
chap3_only,0,1000,0.392,0,3,0.258,0.151
chap3_only,1,1000,0.416,0,3,0.258,0.161
chap3_only,2,1000,0.368,0,2,0.261,0.159
chap4_only,0,1000,0.392,0,2,0.273,0.104
chap4_only,1,1000,0.409,0,2,0.269,0.092
chap4_only,2,1000,0.368,0,2,0.276,0.095
gcpl_full,0,1000,0.391,0,2,0.329,0.098
gcpl_full,1,1000,0.413,0,2,0.324,0.075
gcpl_full,2,1000,0.368,0,1,0.353,0.072
mappo_only,0,1000,0.392,0,0,2.91,0.141
mappo_only,1,1000,0.416,0,0,2.871,0.123
mappo_only,2,1000,0.368,0,0,2.909,0.133
